cadet_id,grad_year,academic_major,is_ic,squadron,gpa,pea,avg_study_hours
C00702,2030,Undeclared,0,22,3.9,1.95,20.2
C00559,2030,Aeronautical Engineering,0,16,3.4,2.74,23.8
C01936,2030,Computer Science,0,37,2.62,2.61,20
C02048,2030,Undeclared,1,8,3.38,2.92,16.7
C01078,2030,Undeclared,0,12,3.25,2.95,17.1
C02426,2030,Undeclared,0,26,3.18,2.31,17.3
C02150,2030,Undeclared,1,32,2.5,3.99,15.2
C01184,2030,Undeclared,0,16,2.78,1.91,20.1
C00531,2030,Undeclared,0,30,2.71,1.46,14.9
C01514,2030,Political Science,0,34,3.32,2.48,22.4
C03325,2030,Aeronautical Engineering,1,6,2.33,3.54,16.3
C00416,2030,Foreign Area Studies,0,29,1.85,1.99,19.8
C02840,2030,Biology,0,10,3.2,1.74,23.6
C00144,2030,Physics,1,11,3.22,3.72,13.2
C03798,2030,Undeclared,0,16,2.38,2.94,12.4
C03218,2030,Electrical & Computer Engineering,1,4,1.67,3.14,16.3
C02220,2030,Undeclared,1,20,1.5,3.36,9.3
C01623,2030,Undeclared,0,31,3.86,2.58,18.7
C00488,2030,Undeclared,1,3,2.99,3.65,15.7
C02277,2030,Undeclared,0,36,2.73,1.56,17.1
C02166,2030,Undeclared,0,28,3.11,2.54,16.3
C00548,2030,Biology,0,6,3.22,2.37,14.8
C03927,2030,Electrical & Computer Engineering,1,24,2.55,3.33,16.3
C02483,2030,Undeclared,0,25,1.29,3.47,12.6
C01956,2030,Mathematical Sciences,0,11,3.34,2.17,23.2
C03377,2030,Mechanical Engineering,1,20,2.4,3.27,17.6
C01196,2030,Undeclared,0,25,2.17,1.38,14
C02101,2030,Undeclared,0,21,3.34,1.06,11.7
C03911,2030,Aeronautical Engineering,0,39,3.54,2.13,21.9
C03002,2030,Undeclared,0,27,2.59,2.41,19.5
C00680,2030,Economics,1,20,2.89,4,11.1
C00972,2030,Undeclared,1,26,2.61,3.14,16.4
C00978,2030,Undeclared,0,1,1.99,2.44,16.8
C02337,2030,Undeclared,0,38,1.25,2.83,12.8
C01152,2030,Undeclared,0,32,2.14,2.91,12
C01587,2030,Undeclared,1,16,3.49,2.7,11.8
C01867,2030,Aeronautical Engineering,1,25,1.93,2.71,16.1
C03993,2030,Undeclared,0,35,2.45,2.06,23.3
C00558,2030,Management,0,19,2.46,1.85,19.8
C02952,2030,Physics,0,32,2.77,2.74,20.9
C01209,2030,Undeclared,1,11,2.36,3.57,20.5
C03101,2030,Meteorology,0,30,2.9,1.77,26.6
C02118,2030,Undeclared,0,9,1.96,2.13,13.4
C00507,2030,Undeclared,1,23,3.74,2.44,11.4
C02042,2030,Management,0,20,2.06,2.33,15.3
C03470,2030,Undeclared,0,27,2.26,2,20.6
C01135,2030,Civil & Environmental Engineering,0,29,2.84,2.71,22.4
C03236,2030,Undeclared,0,34,2.36,2.18,11
C03336,2030,Undeclared,1,12,3.22,3.68,15.8
C00489,2030,Undeclared,0,40,2.46,1.68,12.9
C03563,2030,Undeclared,0,40,2.69,1.54,14.6
C02933,2030,Undeclared,1,5,1.34,3.92,8.8
C01709,2030,Management,1,8,2.1,2.81,14.2
C01306,2030,Political Science,0,7,3.34,3,18.8
C02647,2030,Undeclared,0,1,3.17,2.2,13.9
C00740,2030,Mechanical Engineering,1,37,3.65,3.33,16.1
C03428,2030,Economics,1,29,2.56,2.53,13.8
C00016,2030,Foreign Area Studies,0,17,2.04,3.18,17.8
C03224,2030,Civil & Environmental Engineering,0,21,2.68,2.22,15.3
C01284,2030,Behavioral Sciences,0,29,1.81,3.36,13.8
C02806,2030,Undeclared,0,6,2.06,1.64,19.7
C01636,2030,Undeclared,1,4,3.1,3.88,15.9
C02633,2030,Undeclared,0,20,2.5,2.6,16.9
C00395,2030,Mechanical Engineering,0,21,2.9,2.38,19.1
C00845,2030,Undeclared,0,4,2.41,1.8,12
C01831,2030,Behavioral Sciences,0,2,3.11,2.55,16.8
C00219,2030,Undeclared,1,28,1.54,3.32,9
C02405,2030,Undeclared,0,26,2.58,2.56,19.5
C01922,2030,Management,0,27,3.75,2.91,19.3
C02148,2030,History,1,15,3.2,2.28,17.1
C00495,2030,Undeclared,0,34,2.51,3.1,15.3
C01383,2030,Civil & Environmental Engineering,0,19,2.92,2.17,20.4
C02115,2030,Economics,0,11,1.98,1.43,16.7
C03959,2030,Management,1,2,2.42,2.57,10.9
C02249,2030,Undeclared,1,3,2.96,4,15.6
C01267,2030,Political Science,0,26,2.67,2.33,22.5
C00200,2030,Management,0,38,1.37,2.21,8.2
C03548,2030,Undeclared,1,25,2.9,2.15,18.7
C02601,2030,Undeclared,0,6,3.43,2.22,16.6
C03802,2030,Undeclared,0,29,1.95,2.36,17.4
C01251,2030,Undeclared,0,24,3.12,2.04,21.5
C02021,2030,Undeclared,1,2,1.93,3.06,18.1
C03755,2030,Physics,0,19,2.43,2.07,20.8
C00950,2030,Management,0,23,1.5,2.6,13.6
C00207,2030,Undeclared,0,32,3.06,1.84,22.2
C03780,2030,Political Science,0,4,1.28,2.21,11.9
C03663,2030,Undeclared,1,40,2.97,2.24,14.2
C01275,2030,Legal Studies,1,33,2.48,2.52,16.1
C02102,2030,Undeclared,0,12,1.97,3.15,16.6
C02987,2030,Undeclared,0,23,2.71,1.23,17.2
C00591,2030,Physics,1,23,2.11,2.74,16.6
C02607,2030,Management,0,10,2.25,2.14,11.4
C00930,2030,Undeclared,0,13,2.68,1.79,21.4
C02322,2030,Undeclared,0,16,2.53,2.51,16
C03523,2030,Undeclared,1,2,1.94,3.29,13.9
C02188,2030,Undeclared,0,12,1.78,1.69,13.7
C01037,2030,Undeclared,0,6,2.18,1.84,13.3
C03145,2030,Undeclared,0,40,2.67,2.24,15.9
C02087,2030,Management,0,23,3.04,2.72,13.1
C01315,2030,Management,0,33,3.22,2.76,19.7
C00942,2030,History,1,36,3.24,3.03,17.5
C01406,2030,Astronautical Engineering,1,30,3.36,2.42,20.3
C03521,2030,Mechanical Engineering,0,37,3.16,2.9,21
C03082,2030,Data Science,0,34,2.5,2.56,24.1
C02346,2030,Undeclared,0,21,3.04,2.17,16.4
C01416,2030,Undeclared,1,18,2.95,3.82,17.1
C01828,2030,Biology,0,18,3.25,1.87,22.1
C01850,2030,Undeclared,0,28,1.76,3.02,16.6
C03265,2030,Undeclared,0,16,2.45,1.9,15.6
C02384,2030,Undeclared,1,37,2.24,3.47,11.1
C01667,2030,Undeclared,0,17,1.96,2.28,17
C00022,2030,Undeclared,0,30,2.12,3.15,20.7
C03759,2030,Undeclared,1,1,3.07,2.48,11.5
C00555,2030,Undeclared,0,5,1.03,2.9,15.6
C02575,2030,Undeclared,1,35,2.72,3.5,17.2
C01044,2030,Undeclared,0,39,2.62,2.46,23.2
C01160,2030,Undeclared,0,9,2.51,2.4,14.9
C01829,2030,Undeclared,1,28,1.12,2.27,6.7
C03367,2030,Undeclared,0,7,2,2.99,15.9
C02602,2030,Undeclared,1,13,2.13,4,7.6
C00400,2030,Undeclared,1,25,2.89,2.87,17.5
C03362,2030,Undeclared,0,32,2.3,2.01,11.5
C02377,2030,Undeclared,0,1,2.9,1.76,13.5
C03840,2030,Systems Engineering,0,14,3.2,2.5,21.1
C01884,2030,Mathematical Sciences,0,29,1.5,2.28,20
C03257,2030,Undeclared,1,9,1.57,2.72,15.6
C02784,2030,History,0,4,2.6,2.63,21.7
C04022,2030,Management,0,10,1.65,1.19,12.5
C03376,2030,History,1,33,1.68,3.53,12.2
C03659,2030,Undeclared,0,9,2.85,1.92,17.6
C01838,2030,Undeclared,0,4,0.99,2.75,10
C00397,2030,Undeclared,0,17,2.62,2.57,15
C01694,2030,Undeclared,0,13,2.52,2.24,19
C03104,2030,Operations Research,0,12,2.85,1.96,15.8
C02732,2030,Civil & Environmental Engineering,0,25,2.03,2.63,18.7
C02700,2030,Undeclared,0,27,1.94,2.48,10.4
C02999,2030,Systems Engineering,0,39,1.6,2.55,19.2
C02425,2030,Mechanical Engineering,0,9,2.77,3,18.3
C02036,2030,Aeronautical Engineering,0,1,3.23,2.31,22.5
C03859,2030,Economics,0,7,3.16,2.1,17.4
C01410,2030,Undeclared,0,26,3.3,1.73,21.2
C03180,2030,Undeclared,1,13,2.82,3.4,18.3
C03968,2030,Undeclared,0,6,3.18,2.71,17
C00011,2030,Undeclared,1,40,2.47,2.86,12
C01909,2030,Undeclared,0,38,2.92,2.13,16.1
C03672,2030,Undeclared,1,22,2.84,3.23,14.7
C01080,2030,Political Science,1,16,2.31,3.23,16
C03179,2030,Undeclared,0,34,3.33,1.85,14.8
C00230,2030,Undeclared,1,10,2.85,2.52,17.7
C01244,2030,Cyber Science,1,37,2.78,2.81,12.9
C00365,2030,Undeclared,0,17,2.93,2.26,16.5
C02449,2030,Aeronautical Engineering,0,28,4,2.84,26.4
C00186,2030,Undeclared,1,6,2.28,3.96,9.6
C00975,2030,Astronautical Engineering,0,8,3.56,2.01,25.4
C03921,2030,Systems Engineering,1,10,2.4,2.26,17.8
C01834,2030,Undeclared,1,6,1.49,3.42,19
C01538,2030,Undeclared,0,22,3.42,2.77,19.6
C02222,2030,Undeclared,0,33,2.69,2.64,19.5
C02378,2030,Computer Science,1,12,2.03,2.66,17.4
C03084,2030,Undeclared,0,20,3.39,1.95,19.8
C00366,2030,Computer Science,0,29,2.73,1.61,20.8
C02435,2030,Undeclared,1,9,3.35,3.13,12.4
C02690,2030,Management,1,4,1.64,4,12.4
C01013,2030,Systems Engineering,0,12,3.02,2.26,24.2
C00494,2030,Undeclared,1,19,2.78,2.7,14.8
C02974,2030,Management,0,24,2.82,2.09,10.6
C00249,2030,Undeclared,0,13,3.26,2.34,13.7
C03430,2030,Undeclared,1,9,2.82,3.33,17
C01178,2030,Management,0,7,1.85,2.03,14.3
C02900,2030,Undeclared,0,9,1.38,2.26,16
C02581,2030,Undeclared,0,36,2.5,1.26,12.2
C01343,2030,Undeclared,0,9,2.18,2.4,12.3
C03296,2030,Undeclared,1,30,1.55,3.07,13.7
C02047,2030,Undeclared,1,12,1.31,4,6.3
C03777,2030,Undeclared,0,3,3.25,2.59,15.5
C01099,2030,Undeclared,0,7,2.26,1.97,18.2
C01773,2030,Undeclared,1,26,2.91,2.8,18.5
C00857,2030,Undeclared,0,27,2.3,2.31,15
C02068,2030,Physics,1,38,2.26,2.32,19.2
C01656,2030,Undeclared,1,29,2.3,4,10.6
C03052,2030,Undeclared,0,23,1.65,3.45,16.6
C02813,2030,Political Science,0,32,1.32,2.51,17.7
C01557,2030,Undeclared,0,16,3.59,1.74,17.1
C01162,2030,Undeclared,0,12,2.78,2.79,21.4
C03866,2030,Electrical & Computer Engineering,1,26,2.83,2.97,16.9
C03441,2030,History,1,33,0.93,3.09,9.9
C02978,2030,Undeclared,1,22,1.73,3.94,10.6
C02526,2030,Management,1,13,2.48,3.21,9.6
C03448,2030,Undeclared,0,10,2.9,1.97,19.1
C03269,2030,Systems Engineering,1,30,2.28,3.91,13.4
C00770,2030,Undeclared,1,27,2.04,4,19
C00699,2030,Undeclared,1,7,2.28,3.04,13.5
C03475,2030,Undeclared,1,17,2.94,3.17,18.8
C01564,2030,Geospatial Science,0,30,2.5,1.98,20.7
C01562,2030,Biology,1,1,2.61,3.03,15.1
C00172,2030,Undeclared,0,14,2.23,2.42,16
C03334,2030,Undeclared,0,32,3.18,1.11,20.7
C03887,2030,Undeclared,0,13,2.01,2.52,20.5
C00877,2030,Undeclared,0,8,1.94,3.15,21
C00425,2030,Management,0,28,3.51,2.15,12.2
C02596,2030,Undeclared,1,7,3.29,2.33,15.8
C03607,2030,Undeclared,1,39,2.73,4,18.4
C00883,2030,Undeclared,0,5,2.43,2.73,14.2
C03984,2030,Undeclared,0,19,2.4,2.06,17.9
C00099,2030,Undeclared,1,37,2.77,3.67,13.5
C03570,2030,Undeclared,1,5,2.24,3.31,8.7
C02663,2030,Undeclared,0,35,3.11,2.41,18.9
C00098,2030,Undeclared,0,23,1.68,2.06,15.2
C00338,2030,Undeclared,0,21,1.3,2.33,16.6
C03875,2030,Political Science,0,38,2.61,2.29,15.4
C03415,2030,Physics,0,31,2.5,2.46,19.7
C01793,2030,Undeclared,0,15,3.14,2.05,20
C03451,2030,Undeclared,0,37,2.26,2.99,16
C02487,2030,Undeclared,0,32,2.22,2.69,21.1
C00747,2030,Undeclared,0,21,2.85,2.09,17.8
C03314,2030,Undeclared,0,35,1.8,2.51,16.5
C03397,2030,Undeclared,1,15,2.54,3.51,14.3
C02834,2030,Undeclared,0,18,3.53,2.24,22.8
C01558,2030,Civil & Environmental Engineering,0,11,4,2.43,28.9
C01430,2030,Behavioral Sciences,0,8,2.5,1.84,19.5
C03127,2030,English,1,9,2.51,3.71,13.9
C03982,2030,Computer Science,1,9,2.31,3.06,16
C02791,2030,Undeclared,1,20,2.06,3.32,10.4
C03038,2030,Astronautical Engineering,1,22,1.56,2.77,20.1
C00021,2030,Physics,0,29,2.19,1.17,17.9
C02255,2030,Philosophy,0,15,2.82,2.05,17.1
C01301,2030,Economics,0,15,1.88,2.97,11.8
C02403,2030,Undeclared,0,11,2.44,2.08,12.2
C03046,2030,Undeclared,1,24,3.59,2.94,15.9
C01159,2030,Military & Strategic Studies,0,1,0.5,2.08,12.3
C02060,2030,Astronautical Engineering,0,7,3.34,3,21.7
C02566,2030,Undeclared,0,24,1.97,2.12,14.9
C01574,2030,Undeclared,1,5,2.66,3.38,6.5
C01283,2030,Management,1,31,2.12,3.48,10.2
C00277,2030,Chemistry,0,32,3.55,2.22,20.2
